no_reg,nama_perusahaan,nama_merek_usaha,tipe_keanggotaan,jenis_perizinan,domain,alamat_kantor,kelurahan,kecamatan,kabkota,provinsi,kodepos,phone,fax
S2864,PT. RAHAJASA MEDIA INTERNET,RADNET,Corporate,-,RAD.NET.ID,"Graha Darnelis, 2nd floor, Jalan Amil No. 7, Pejaten Barat",PEJATEN BARAT,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12510,0217996363,0217916777
S1233,PT. POS FINANSIAL INDONESIA,WASANTARANET,Corporate,-,WASANTARA.NET.ID,"Jalan Gedung Kesenian No. 2, GEDUNG KANTOR POS PUSAT Lantai 6",PASAR BARU,SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,10710,021 3521-793,021 3517-492
S2461,PT. JASTRINDO DINAMIKA,-,Corporate,-,jastrindo.net.id,Jl. Joglo Baru Blok. A No. 153,JOGLO,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11640,(021) 57956866,(021) 57956881
S2885,PT. CITRA SARI MAKMUR - NAP,-,Corporate,-,CSMCOM.COM,"Jalan Jenderal Sudirman Kav. 21, CHASE PLAZA Lantai 16",KARET,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12920,021 5700-194,021 5704-656
S588,PT. ASIAKOMNET MULTIMEDIA,-,Corporate,-,ASIAKOM.NET,Jl. Kramat Raya no. 140,KENARI,SENEN,JAKARTA PUSAT,DKI JAKARTA,10430,(021 )3190-3456,(021 )3190-2544
S594,PT. INDOMAYA WIRA SEJAHTERA,-,Corporate,-,INDOMAYA.NET.ID,Jl.Sam Ratulangi no. 8 Manahan,MANAHAN,BANJARSARI,SURAKARTA,JAWA TENGAH,57139,0271 713531,0271 725-979
S2860,PT. PASIFIK LINTAS BUANA,-,Corporate,-,VIP.NET.ID,"Intiland tower, lantai 15 Jl. Jend. Sudirman Kav. 32",KARET TENGSIN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10220,(021) 579-53-178,(021) 579-53-179
S0159,PT. WAHANA INOVASI NUSANTARA,-,Corporate,-,WIN.NET.ID,"Gedung Graha Metro Lt. 2, Jl. Penjernihan 1 No. 8",BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10210,(021) 57956866,(021) 579 56881
S2856,PT. MAXIMA DATA,-,Corporate,-,MAXIMAMULTIMEDIA.NET,Jl. Jawa  No. 62,Sumbersari,Sumbersari,Kab. Jember,JAWA TIMUR,68121,0331 7706-628,0331 325-340
S1517,PT. JIVAN JAYA MAKMUR TELECOM,-,Corporate,-,JJ-I.NET,Jl. Taman A.I.S Nasution No.35-B,Embong Kaliasin,Genteng,Surabaya,JAWA TIMUR,60271,031 5465-955,-
