no_reg,nama_perusahaan,nama_merek_usaha,tipe_keanggotaan,jenis_perizinan,domain,alamat_kantor,kelurahan,kecamatan,kabkota,provinsi,kodepos,phone,fax
S2864,PT. RAHAJASA MEDIA INTERNET,RADNET,Corporate,-,RAD.NET.ID,"Graha Darnelis, 2nd floor, Jalan Amil No. 7, Pejaten Barat",PEJATEN BARAT,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12510,0217996363,0217916777
0002,PT. CYBERINDO ADITAMA,CBN,Keanggotaan Penyelenggara,ISP,CBN.NET.ID,"Jalan H. R. Rasuna Said Blok X5 No. 13, CYBER 2 TOWER Lantai 33",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,+622129964900,+62215742481
S1233,PT. POS FINANSIAL INDONESIA,WASANTARANET,Corporate,-,WASANTARA.NET.ID,"Jalan Gedung Kesenian No. 2, GEDUNG KANTOR POS PUSAT Lantai 6",PASAR BARU,SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,10710,021 3521-793,021 3517-492
0005,PT. INDO INTERNET,INDONET,Keanggotaan Penyelenggara,ISP,INDO.NET.ID,"Jalan Rempoa Raya No. 11, RUMAH INDONET, Ciputat",REMPOA,CIPUTAT TIMUR,TANGERANG SELATAN,BANTEN,15412,021 7388-2525,021 7388-2626
0007,PT. MELVAR LINTASNUSA,MELSA,Keanggotaan Penyelenggara,ISP,MELSA.NET.ID,"Jalan HOS Tjokroaminoto, PASKAL HYPER SQUARE Blok. C No. 39-41",KEBON JERUK,ANDIR,BANDUNG,JAWA BARAT,40181,+622286061101,+622286061111
0008,PT. UNINET MEDIA SAKTI,UNINET,Keanggotaan Penyelenggara,ISP,UNINET.NET.ID,JL. Warung Buncit Raya 25 Pejaten,KALIBATA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12740,021 794 0911,021 794 0912
0009,PT. JASA JEJARING WASANTARA,PACIFIC LINK,Keanggotaan Penyelenggara,ISP,PACIFIC.NET.ID,"Jl. KH. Ramli No. 9, RT 001/RW 003",MENTENG DALAM,TEBET,JAKARTA SELATAN,DKI JAKARTA,12870,+62215262627,+62215262625
0010,PT. CENTRIN ONLINE PRIMA,CENTRIN ONLINE,Keanggotaan Penyelenggara,JTT,CENTRIN.NET.ID,Plaza Central Lantai 21 Jl. Jend. Sudirman Kav. 47,KARET SEMANGGI,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12930,+6221-29396565,+6221-29396556
0012,PT. BITNET KOMUNIKASINDO,BOZZCOM,Keanggotaan Penyelenggara,ISP,WWW.BIT.NET.ID,Jalan R. P. Soeroso No. 37,GONDANGDIA,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10350,021 3910-123,021 3910-760
0015,PT. CORE MEDIATECH,DNET,Keanggotaan Penyelenggara,ISP,DNET.NET.ID,Jalan Matraman I No. 9,KEBON MANGGIS,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13150,021 2850-7000,021 2850-7070
0018,"PT. LINK NET, TBK.",LINKNET,Keanggotaan Penyelenggara,ISP,LINKNET.CO.ID,"Jalan Jenderal Gatot Subroto Kav. 35-36, BERITA SATU PLAZA Lantai 5",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,021 5278-811,021 5278-833
0019,PT. TRANSMEDIA INDONESIA,TRANSMEDIA,Keanggotaan Penyelenggara,ISP,ACCESS.NET.ID,"Graha Almeira, Lt. 3
Jln. Bangka Raya No. 27 A",PELA MAMPANG,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12720,021 5268-777,021 5268-789
0020,PT. APLIKANUSA LINTASARTA,IDOLA,Keanggotaan Penyelenggara,ISP,IDOLA.NET.ID,Menara Thamrin Lantai 12 Jl. MH. Thamrin Kav. 3,KAMPUNG BALI,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10250,+62212302345,-
0023,PT. USAHA MEDIANTARA INTRANET,SPOTNET,Keanggotaan Penyelenggara,ISP,WWW.SPOT.NET.ID,"Jalan Gajah Mada No. 19-26, GAJAH MADA TOWER Lantai 4",PETOJO UTARA,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10130,021 6345-005,021 6345-358
0031,PT. PRIMEDIA ARMOEKADATA INTERNET,PRIMENET,Keanggotaan Penyelenggara,ISP,PRIME.NET.ID,"Gedung Sony Lantai 4 Jl. Wahid Hasyim 89, RT. 5 / RW. 3",SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12190,08111460892,021 7354-072
