No;Logo;Nama Lembaga;Alamat;Provinsi;Keterangan;Status
1;;Lembaga Kantor Berita Nasional ANTARA;Wisma ANTARA Lantai 18-20Jalan Medan Merdeka Selatan No.17, Jakarta 10110 P.O. BOX Jakarta 10012;DKI Jakarta;Lembaga Uji;Ditetapkan 9 September 2011
2;;Lembaga Penyiaran Publik Radio Republik Indonesia (LPP RRI);Jl. Medan Merdeka Barat 4-5 Jakarta 10270, Indonesia.;DKI Jakarta;Lembaga Uji;Ditetapkan 9 September 2011
3;;PT. Badan Penerbit Kedaulatan Rakyat (Kedaulatan Rakyat);Jl. P. Mangkubumi No. 40-46Yogyakarta 55232;Yogyakarta;Lembaga Uji;Ditetapkan 10 Agustus 2012
4;;PT. Aksara Solopos (Solopos);Jln. Adisucipto No. 190 Solo;Jawa Tengah;Lembaga Uji;Ditetapkan 10 Agustus 2012
5;;PT. Suara Nusa Mataram;;Maluku Tenggara Barat;;Ditetapkan 10 Agustus 2012
6;;PT. Penerbitan Harian Waspada (Waspada);Jl Brigjen Katamso 1, Aur, Medan Maimun, Medan, Indonesia;Sumatera Utara;Lembaga Uji;Ditetapkan 10 Agustus 2012
7;;PT. Cakrawala Andalas Televisi (ANTV);Komplek Rasuna Epicentrum Lot 9, Jl. H.R. Rasuna Said, Karet KuninganSetiabudi, Jakarta Selatan - Indonesia, Kode Pos 12940;DKI Jakarta;Lembaga Uji;Ditetapkan 10 Agustus 2012
8;;PT. Citra Media Nusa Purnama (Media Indonesia);Jl. Pilar Mas Raya Kav A-DKedoya Selatan, Kebon JerukJakarta Barat, DKI Jakarta11520, Indonesia;DKI Jakarta;Lembaga Uji;Ditetapkan 10 Agustus 2012
9;;PT. Media Fajar (Fajar);Gedung Graha Pena Makassar Jalan Urip Sumoharjo No.20, Makassar, Sulawesi Selatan;Sulawesi Selatan;Lembaga Uji;Ditetapkan 10 Agustus 2012
10;;PT. Bina Media Tenggara (The Jakarta Post);Jl. Palmerah Barat No. 142 - 143 Jakarta 10270, Indonesia;DKI Jakarta;Lembaga Uji;Ditetapkan 10 Agustus 2012
11;;PT. Bali Post (Bali Post);Jl. Kepundung No.67a, Dangin Puri Kaja, Denpasar Utara, Kota Denpasar, Bali 80234;Bali;Lembaga Uji;Ditetapkan 10 Agustus 2012
12;;PT. Media Nusantara Citra (MNC Group);MNC Tower 26th FloorJl. Kebon Sirih Kav. 17-19Jakarta Pusat 10340;DKI Jakarta;Lembaga Uji;Ditetapkan 10 Agustus 2012
13;;PT. Tempo Inti Media (Tempo Group);Jalan Palmerah Barat No.8, RT.3/RW.5, Grogol Utara, Kebayoran Lama, RT.8/RW.1, RT.3/RW.5, Grogol Utara, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210;DKI Jakarta;Lembaga Uji;Ditetapkan 10 Agustus 2012
14;;PT. Genta Singgalang Pres (Singgalang);Jl.veteran No.17 Kota Padang;Sumatera Barat;Lembaga Uji;Ditetapkan 10 Agustus 2012
15;;PT. Kompas Media Nusantara (Kompas Group);Gedung Kompas GramediaJalan Palmerah Selatan 22-26,DKI Jakarta, Indonesia10270;DKI Jakarta;Lembaga Uji;Ditetapkan 10 Agustus 2012
16;;PT. Pikiran Rakyat Bandung (Pikiran Rakyat);Jalan Asia Afrika No. 77 Bandung 40111;Jawa Barat;Lembaga Uji;Ditetapkan 10 Agustus 2012
17;;PT. Wahana Ekonomi Semesta (Rakyat Merdeka);Gedung Graha Pena 6 & 8 Floor Jl. Raya Kebayoran Lama No.12 Jakarta Selatan 12210 - Indonesia;DKI Jakarta;Lembaga Uji;Ditetapkan 10 Agustus 2012
18;;PT. Jurnalindo Aksara Grafika (Bisnis Indonesia);Wisma Bisnis IndonesiaJalan K.H. Mas Mansyur Kav. 12AKaret Tengsin, Tanah AbangJakarta Pusat;DKI Jakarta;Lembaga Uji;Ditetapkan 28 Agustus 2012
19;;Ikatan Jurnalis Televisi Indonesia (IJTI);Gedung Dewan Pers Lt.5Jl. Kebon Sirih No. 32-34 Jakarta Pusat;DKI Jakarta;Lembaga Uji;Ditetapkan 27 November 2012
20;;Departemen Ilmu Komunikasi Fakultas Ilmu Sosial dan Ilmu Politik Universitas Indonesia;Gedung Komunikasi Fakultas Ilmu Sosial dan Ilmu Politik Universitas Indonesia, Pondok Cina, Beji, Kota Depok, Jawa Barat 16424;DKI Jakarta;Lembaga Uji;Ditetapkan 13 Desember 2012
